,RA, , , ,RT, , , ,RC, , , ,SC, , , ,ÇÐ»»´ÎÊý, , , ,R, , , ,violate,,,,
small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMO,186.4573836,0.010513671,186.2784958,186.6578529,24.595406,0.002653736,24.511058,24.706199,44.0001372,0.001453069,43.915704,44.05280667,16.108,0.474416,15.16,17.18,100,0,100,100,0,0,0,4.9E-324,40.6,2.04,38,43,
OURS,764.7545667,1.48809893,762.5223723,766.5092153,25.2618489,0.007839018,25.13382571,25.47207462,44.42218213,0.003643608,44.30359074,44.47526188,4.312484006,0.175859712,3.73095742,5.40734912,100,0,100,100,0.830359788,0.001001309,0.7679926,0.874738771,125,76.2,109,138,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDDLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMO,202.1030372,0.061350527,201.8101244,202.4963279,26.1366714,0.007230249,26.036107,26.344991,48.50831007,0.02148928,48.29299433,48.69337167,19.318,0.256836,18.3,20.1,100,0,100,100,0,0,0,4.9E-324,99.8,0.16,99,100,
OURS,840.612534,7.059008159,835.4711593,844.2875198,26.66752996,0.023348469,26.46424411,26.95407717,48.87477327,0.025368731,48.57827398,49.13426777,5.836778914,0.16002607,5.31735866,6.47556568,100,0,100,100,1.05860518,0.003151007,0.998428645,1.154660961,399.3,0.21,399,400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OURS-S,187.5439992,0.028238103,187.3428742,187.8013757,24.7093892,0.009274587,24.598496,24.884794,44.30239807,0.010110598,44.109022,44.38760867,6.066,0.110964,5.6,6.62,34,0,34,34,0.818250796,0.001075192,0.753783275,0.884072196,52.4,21.04,43,56,
OURS-M,389.7391346,0.42807397,388.5580091,390.8010377,26.55366979,0.026492994,26.29708764,26.80045494,48.72667828,0.061302719,48.13762118,49.03663411,8.04866,0.095705336,7.6826,8.7594,68,0,68,68,0.8992627,0.002847522,0.813417546,0.979327423,151.6,22.24,142,156,
OURS-B,650.7843921,0.780027838,649.6678423,651.9279615,38.5534345,0.048540753,38.18221946,38.89806052,56.06979772,0.020946229,55.83516485,56.32843248,12.4504866,0.681854671,11.300382,13.661262,102,0,102,102,1.323650324,0.007749528,1.177159856,1.467441855,251.6,22.24,242,256,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPOT-S,193.3243539,0.221618601,192.5068097,194.1157864,26.8711462,0.023654909,26.63143,27.076369,43.4810018,0.007558242,43.32178133,43.60658067,7.432,0.533936,6.58,9.08,34,0,34,34,0.757523254,0.001578509,0.701795217,0.847157714,49.6,9.64,45,57,
RPOT-M,405.7143594,3.178361007,403.2248369,409.6798757,30.00140246,0.187034498,29.4954633,30.92640369,47.87356198,0.049798199,47.55860104,48.4202274,9.88032,0.272221554,9.2418,10.8502,68,0,68,68,1.15833539,0.012878387,1.019107781,1.392282897,149.5,10.25,145,157,
RPOT-B,677.9206137,2.548920697,675.5953395,681.3024761,42.27986212,0.188739377,41.3554054,43.00407599,55.22820089,0.149188289,54.49155612,55.9641703,15.2648032,0.304569232,14.080336,16.053192,102,0,102,102,1.353911119,0.01211263,1.203728939,1.526933591,249.5,10.25,245,257,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW=5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPOT-S,193.802083,0.510830177,192.4677585,195.1528352,26.973224,0.059126488,26.562317,27.453892,43.53272913,0.008385713,43.37903633,43.65968867,4.58,0.2752,3.66,5.66,20,0,20,20,0.927227799,0.001212294,0.880359946,0.971342498,55.4,30.44,45,64,264
RPOT-M,408.9174102,4.097715279,406.21329,412.8463388,30.68894694,0.459167992,29.95875278,31.99193446,48.00643302,0.172103698,47.32744096,48.91664863,5.9878,0.13717152,5.4676,6.505,40,0,40,40,1.454752923,0.013359775,1.23580619,1.662034599,155.4,30.44,145,164,
RPOT-B,680.8549199,5.533325418,677.6689483,685.4523827,42.23691167,0.312476987,41.41217229,43.35275432,55.18856443,0.112668014,54.48643241,55.55814187,8.939878,0.138110917,8.454676,9.636226,60,0,60,60,1.733538727,0.006933208,1.599509989,1.879930343,255.4,30.44,245,264,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OURS-S,187.6899375,0.08930938,187.320559,188.1711168,24.7604041,0.017796661,24.546734,24.990257,44.28722583,0.015309361,43.99335067,44.48885767,3.55,0.04018,3.24,3.96,20,0,20,20,0.993849124,0.001229131,0.946027357,1.067864868,51.9,15.29,43,58,
OURS-M,392.3728486,0.348748752,391.3572484,393.2979784,27.06679094,0.019522085,26.82456389,27.27070419,49.02550832,0.049684398,48.70444566,49.52280806,5.1315,0.054107218,4.773,5.6352,40,0,40,40,1.180600339,0.003263418,1.083927492,1.277443144,151.9,15.29,143,158,
OURS-B,653.5280981,0.712480165,652.266715,654.8880416,38.74715081,0.015118423,38.56085061,38.91279468,55.82686322,0.051047326,55.54475586,56.36001245,7.457315,0.371214983,6.309596,8.612164,60,0,60,60,1.547313093,0.006872426,1.356916015,1.658168976,251.9,15.29,243,258,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.5961984,0.51166326,192.9038362,195.3397422,27.0281823,0.065698022,26.832523,27.642584,43.3558922,0.012615373,43.166943,43.536135,6.14,0.38336,4.9,7.12,25,0,25,25,0.855205249,0.001413442,0.78116536,0.914476157,50.7,37.21,41,59,,
407.2403585,2.478225494,404.8515131,410.1062445,30.21020952,0.140273674,29.81129156,31.00155224,48.10297719,0.100772855,47.72793214,48.77863935,7.3434,0.240131136,6.6484,8.061,50,0,50,50,1.346122897,0.009822667,1.138431692,1.467707399,150.7,37.21,141,159,,
680.3162597,3.587221661,677.0004289,683.8257069,42.6914278,0.378485313,41.75134932,43.53778769,54.97534151,0.108321341,54.53691004,55.53525873,10.715434,0.394285789,9.75437,11.71929,75,0,75,75,1.590685906,0.004251223,1.479466477,1.695462968,250.7,37.21,241,259,,
